code,label,discipline
A1,Discipline[A1]. Please select your main scientific discipline(s): [Animal Behaviour and Cognition],Animal Behaviour and Cognition
A2,Discipline[A2]. Please select your main scientific discipline(s): [Biochemistry],Biochemistry
A3,Discipline[A3]. Please select your main scientific discipline(s): [Bioengineering],Bioengineering
A4,Discipline[A4]. Please select your main scientific discipline(s): [Bioinformatics],Bioinformatics
A5,Discipline[A5]. Please select your main scientific discipline(s): [Biophysics],Biophysics
A6,Discipline[A6]. Please select your main scientific discipline(s): [Cancer Biology],Cancer Biology
A7,Discipline[A7]. Please select your main scientific discipline(s): [Cell Biology],Cell Biology
A8,Discipline[A8]. Please select your main scientific discipline(s): [Clinical Trials],Clinical Trials
A9,Discipline[A9]. Please select your main scientific discipline(s): [Developmental Biology],Developmental Biology
A10,Discipline[A10]. Please select your main scientific discipline(s): [Ecology],Ecology
A11,Discipline[A11]. Please select your main scientific discipline(s): [Epidemiology],Epidemiology
A12,Discipline[A12]. Please select your main scientific discipline(s): [Evolutionary Biology],Evolutionary Biology
A13,Discipline[A13]. Please select your main scientific discipline(s): [Genetics],Genetics
A14,Discipline[A14]. Please select your main scientific discipline(s): [Genomics],Genomics
A15,Discipline[A15]. Please select your main scientific discipline(s): [Immunology],Immunology
A16,Discipline[A16]. Please select your main scientific discipline(s): [Microbiology],Microbiology
A17,Discipline[A17]. Please select your main scientific discipline(s): [Molecular Biology],Molecular Biology
A18,Discipline[A18]. Please select your main scientific discipline(s): [Neuroscience],Neuroscience
A19,Discipline[A19]. Please select your main scientific discipline(s): [Paleontology],Paleontology
A20,Discipline[A20]. Please select your main scientific discipline(s): [Pathology],Pathology
A21,Discipline[A21]. Please select your main scientific discipline(s): [Pharmacology and Toxicology],Pharmacology
A22,Discipline[A22]. Please select your main scientific discipline(s): [Physiology],Physiology
A23,Discipline[A23]. Please select your main scientific discipline(s): [Plant Biology],Plant Biology
A24,Discipline[A24]. Please select your main scientific discipline(s): [Scientific Communication and Education],Scientific Communication and Education
A25,Discipline[A25]. Please select your main scientific discipline(s): [Synthetic Biology],Synthetic Biology
A26,Discipline[A26]. Please select your main scientific discipline(s): [Systems Biology],Systems Biology
A27,Discipline[A27]. Please select your main scientific discipline(s): [Zoology],Zoology
A28,Discipline[A28]. Please select your main scientific discipline(s): [Other],Other
A29,Discipline[A29]. Please select your main scientific discipline(s): [Prefer not to say],Prefer not to say
